"Sign Up for Our Newsletter","Iscriviti alla newsletter"
"I read and agree to ","Ho letto e accetto le"
"Place order now","Effettua ordine"
"Please select province","Inserisci la provincia"
"Male","Uomo"
"Female","Donna"
"Forgotten your password?","Hai dimenticato la password?"
"We have now sent you a new password to your email address.","Ti abbiamo mandato una nuova password al tuo indirizzo email."
"Return to login","Indietro"
"Send password","Invia password"
"Please login with your email address and password.","Accedi con il tuo username e password"
"Login","Accedi"
"Email address","Indirizzo email"
"Please enter your email below and we will send you a new password.","Inserisci la tua email sotto e ti invieremo una nuova password"
"Please enter a registered email address.","Inserisci un indirizzo email registrato."
"Please wait, processing your order...","Attendi, stiamo processando il tuo ordine..."