151001DPN000004,825
151001ASC000001,O99
151001ASC000002,M12
151001ABS000003,0NO
151001ABS000004,G41
151001ABS000005,0RO
151001ABS000005,0NO
151001ABS000005,F52
151001ABS000005,N18
151001ABS000005,N50
151001ABS000005,O98
151001ABS000005,G12
151001ABS000005,K04
151001ABS000005,Y20
151001ABS000016,0AC
151001ABS000017,O98
151001ABS000017,0NO
151001ABS000017,A06
151001ABS000018,K04
151001ABS000018,0RO
151001ASC000003,0BO
151001UCW000001,FE0
151001UCW000002,FH0
151001ABS000006,0NO
151001ABS000006,N50
151001ABS000006,O98
151001ABS000007,P12
151001ABS000008,N32
151001ABS000019,0NO
151001ABS000019,A06
151001ABS000019,O98
151001ABS000019,F28
151001ABS000030,0NO
151001ABS000031,P09
151001UGH000001,598
151001UGB000001,E00
151001UGB000002,F80
151001ABS000009,0NO
151001ABS000009,0RO
151001ABS000009,F28
151001ABS000009,K04
151001ABS000009,N18
151001ABS000009,O98
151001ABS000009,P45
151001ABS000009,A06
151001ABS000009,N50
151001ABS000010,0NO
151001ABS000010,A06
151001ABS000010,N18
151001ABS000010,O98
151001ABS000011,0NO
151001ABS000011,0RO
151001ABS000011,F28
151001ABS000011,F52
151001ABS000011,O98
151001ABS000011,P45
151001ABS000032,0NO
151001ABS000033,Y13
151001ABS000034,0NO
151001DCW000001,F28
151001DCW000001,N50
151001DCW000002,0BO
151001UGH000002,A55
151001UFE000001,443
151001UTS000001,E20
151001ABS000012,0RO
151001ABS000012,G12
151001ABS000012,N18
151001ABS000012,N50
151001ABS000012,F52
151001ABS000012,O98
151001ABS000013,0NO
151001DCW000003,305
151001DCW000003,N50
151001DCW000004,C43
151001DCW000004,0BO
151001UTS000002,443
151001UTS000002,659
151001UTS000003,P00
151001UTS000004,825
151001DTO000001,EK0
151001DTO000002,N50
151001DTO000002,F28
151001DGH000001,N50
151001DGH000001,O98
151001UPL000001,E15
151001UCP000001,825
151001UPN000001,424
151001UPN000001,598
151001UPN000001,659
151001DMA000001,N50
151001DMA000002,N50
151001DMA000002,F28
151001DMA000003,F28
151001UBE000001,E20
151001UCW000003,F20
151001UGB000003,F80
151001UFE000002,825
151001UCP000002,825
151001UBE000002,E10
151001DPN000001,F00
151001DPN000001,F80
151001DTS000001,157
151001DTS000001,N50
151001NCX000019,N69
151001DTS000002,0BO
151001DPN000002,EC0
151001DSH000001,N50
151001LCX000001,N84
151001LCX000002,Y41
151001LCX000002,M30
151001LCX000003,R82
151001LCX000003,A08
151001NCX000001,D69
151001NCX000001,N91
151001NCX000001,G42
151001NCX000001,P45
151001NCX000020,N69
151001NCX000021,N69
151001ABS000001,0NO
151001ABS000001,K04
151001ABS000001,N50
151001ABS000001,0RO
151001DSH000002,0NO
151001DSH000003,A03
151001DTO000003,EC0
151001LCX000004,D73
151001LCX000004,D74
151001LCX000004,D75
151001LCX000004,N97
151001LCX000004,S88
151001LCX000005,G05
151001LCX000005,H07
151001LCX000006,P65
151001NCX000002,A06
151001NCX000002,B17
151001NCX000002,Y11
151001NCX000003,N41
151001NCX000003,N91
151001NCX000003,P26
151001NCX000003,R19
151001NCX000004,N41
151001NCX000004,N91
151001NCX000004,P45
151001NCX000004,N52
151001ABS000035,G01
151001ABS000020,0RO
151001ABS000020,0NO
151001ABS000020,F28
151001ABS000022,0RO
151001ABS000022,K04
151001ABS000022,O98
151001ABS000022,0NO
151001ABS000022,N50
151001ABS000022,P45
151001DAB000001,0NE
151001DAB000002,157
151001DAB000003,E90
151001LCX000007,P31
151001LCX000007,A41
151001LCX000007,G47
151001LCX000008,L71
151001LCX000009,Y20
151001NCX000005,N91
151001NCX000005,P26
151001NCX000005,P45
151001NCX000006,N41
151001NCX000007,M12
151001ABS000036,G01
151001ABS000037,G01
151001ABS000038,G01
151001ABS000023,O98
151001ABS000023,0RO
151001ABS000023,N50
151001ABS000024,N18
151001ABS000024,F52
151001ABS000025,F28
151001ABS000025,F52
151001ABS000025,K04
151001DAB000004,EK0
151001DAB000005,A23
151001DAB000006,406
151001LCX000010,M74
151001LCX000010,S02
151001LCX000011,Y20
151001LCX000012,Y45
151001NCX000008,M12
151001NCX000009,K04
151001NCX000009,N18
151001NCX000010,P78
151001ABS000039,G01
151001ABS000040,G01
151001APG000001,N50
151001APG000001,P45
151001APG000001,0NO
151001APG000001,F52
151001ABS000026,N18
151001ABS000026,O98
151001ABS000026,N50
151001ABS000027,N50
151001ABS000028,A06
151001DMA000004,0NR
151001DGH000002,F80
151001DGN000001,F28
151001NCX000011,C86
151001NCX000011,D70
151001NCX000012,Y47
151001NCX000013,O55
151001APG000002,0NO
151001APG000002,0RO
151001APG000002,O98
151001APG000003,0RO
151001APG000003,O98
151001APC000001,N50
151001APC000001,0NO
151001ABS000029,M12
151001DGN000002,157
151001DPN000003,E15
151001DSH000004,N50
151001NCX000014,N91
151001NCX000014,P26
151001NCX000014,P45
151001NCX000015,O91
151001NCX000016,M12
151001APG000004,G01
151001AAV000001,G01
151001AAV000002,G01
151001DTO000004,EC0
151001DAB000007,305
151001DAB000008,N11
151001NCX000017,G76
151001NCX000018,L71
151001ABS000002,P12
151001ABS000015,0NO
151001ABS000015,N18
151001ABS000015,F28
151001ABS000041,G01
151001DPE000001,417
151001DCD000001,665
151001DCD000001,R13
142001ABS000001,0NO
142001ABS000001,0RO
142001ABS000001,G12
142001ABS000001,I02
142001ABS000003,0NO
142001ABS000003,0RO
142001ABS000003,A40
142001ABS000037,M30
142001ABS000037,0NO
142001ABS000037,B63
142001ABS000008,0NO
142001ABS000008,0RO
142001ABS000011,0NO
142001ABS000011,A40
142001NCX000005,P45
142001NCX000005,0NO
142001ABS000012,B17
142001ABS000012,0NO
142001APG000001,D21
142001APG000001,M30
142001APG000001,0NO
142001APG000001,0RO
142001APG000001,G12
142001APG000001,Z83
142001APG000004,0NO
142001APG000004,A40
151001NCX000034,N91
151001NCX000034,P45
151001NCX000034,R19
151001NCX000035,0NO
151001NCX000035,Z83
151001NCX000035,0RO
151001NCX000036,0RO
151001NCX000036,P45
151001NCX000037,I03
151001NCX000037,R04
151001NCX000038,R19
151001NCX000039,W37
151001NCX000040,0NO
151001NCX000040,A06
151001NCX000041,P81
151001NCX000042,L17
151001NCX000043,R04
151001NCX000044,R24
151001NCX000044,R04
151001NCX000044,I03
151001NCX000045,P45
151001NCX000046,0RO
151001NCX000047,W36
151001NCX000048,0NO
151001NCX000048,A06
151001ABG000001,0NO
151001ABG000001,L43
151001ABG000001,P45
151001ABS000042,W34
151001ABS000042,0NO
151001ABS000042,0RO
151001ABS000042,M30
151001ABS000042,W33
151001NCX000022,I16
151001NCX000022,W33
151001NCX000023,038
151001NCX000023,I03
151001NCX000023,R04
151001NCX000024,N91
151001NCX000025,0NO
151001NCX000027,N91
151001NCX000027,S39
151001NCX000027,R19
151001NCX000028,P45
151001NCX000028,N91
151001NCX000029,W36
151001NCX000030,W36
151001NCX000031,0AC
151001NCX000032,I03
151001NCX000032,R04
151001NCX000033,I03
151001NCX000033,R04
151001DTO000005,ET0
151001DTO000005,EN0
151001DMA000005,0BO
151001DMA000006,0BO
151001DMA000007,A03
151001DMA000008,0BO
151001DAB000009,0BO
151001ABS000043,0AC
151001ABS000044,W41
151001ABS000045,0NO
151001ABS000045,0RO
151001ABS000045,M30
151001ABS000045,W33
151001ABS000045,W34
151001DAB000010,M12
151001DPN000005,E68
151001DPN000005,EX0
151001DPN000006,EN0
151001DPN000006,ET0
151001ABS000046,0AC
151001ABS000047,S17
151001ABS000048,N99
151001DTO000006,E68
151001DTO000006,EX0
151001DAB000011,158
151001DAB000012,A03
151001ABS000049,0NO
151001ABS000049,0RO
151001ABS000049,W33
151001ABS000049,W34
151001ABS000049,Z83
151001ABS000050,0AC
151001ABS000051,U26
151001DAB000013,E68
151001DAB000014,M14
151001DAB000015,ET0
151001ABS000052,M30
151001ABS000052,W33
151001ABS000052,W34
151001ABS000052,Z83
151001ABS000053,0AC
151001ABS000054,W45
151001DAB000016,ET0
151001DAB000016,EN0
151001DAB000017,M14
151001DMA000009,0BO
151001ABS000055,S19
151001ABS000056,N99
151001ABS000056,N91
151001ABS000056,Y22
151001ABS000057,W44
151001DAB000018,F28
151001DAB000018,N50
151001DAB000019,A57
151001ABS000058,0RO
151001ABS000058,M30
151001ABS000058,W33
151001ABS000058,W34
151001ABS000059,0AC
151001ABS000060,L26
151001ABS000060,W11
151001DGN000003,P45
151001DSH000005,E68
151001DAB000020,385
151001ABS000061,L27
151001ABS000062,N91
151001ABS000062,N99
151001ABS000062,Y22
151001ABS000063,0AC
151001DAB000021,A03
151001DAB000022,EN0
151001DAB000022,ET0
151001DCW000010,0BO
151001ABS000064,0RO
151001ABS000064,M30
151001ABS000064,W34
151001ABS000064,C07
151001ABS000065,0AC
151001ABS000066,U26
151001ABS000066,N99
151001ABS000066,S17
151001DMA000010,ET0
151001DSH000006,EZ0
151001DSH000007,EN0
151001ABS000067,S17
151001ABS000067,N99
151001ABS000067,U26
151001ABS000068,S17
151001ABS000069,M30
151001ABS000069,W33
151001ABS000069,W34
151001ABS000069,Z83
151001DAB000023,M40
151001ASC000004,EN0
151001ASC000004,FV0
151001ASC000004,G00
151001ASC000004,M41
151001AST000001,EN0
151001AST000001,ES0
151001AST000001,FV0
151001ABS000070,0AC
151001ABS000071,0NO
151001ABS000071,0RO
151001ABS000071,M30
151001ABS000071,W33
151001ABS000071,W34
151001ABS000071,Z83
151001ABS000072,0AC
151001ABS000073,0NO
151001ABS000073,0RO
151001ABS000073,M30
151001ABS000073,W34
151001ABS000074,0AC
151001ABS000075,0AC
151001ABS000076,N99
151001ABS000077,N99
151001ABS000078,0AC
151001DCW000006,0BO
151001DCW000005,0BO
151001DCW000008,0BO
151001DCW000009,EN0
151001DCW000007,0BO
aarticod,avaarvar
151001DPN000004,825
151001ASC000001,O99
151001ASC000002,M12
151001ABS000003,0NO
151001ABS000004,G41
151001ABS000005,0RO
151001ABS000005,0NO
151001ABS000005,F52
151001ABS000005,N18
151001ABS000005,N50
151001ABS000005,O98
151001ABS000005,G12
151001ABS000005,K04
151001ABS000005,Y20
151001ABS000016,0AC
151001ABS000017,O98
151001ABS000017,0NO
151001ABS000017,A06
151001ABS000018,K04
151001ABS000018,0RO
151001ASC000003,0BO
151001UCW000001,FE0
151001UCW000002,FH0
151001ABS000006,0NO
151001ABS000006,N50
151001ABS000006,O98
151001ABS000007,P12
151001ABS000008,N32
151001ABS000019,0NO
151001ABS000019,A06
151001ABS000019,O98
151001ABS000019,F28
151001ABS000030,0NO
151001ABS000031,P09
151001UGH000001,598
151001UGB000001,E00
151001UGB000002,F80
151001ABS000009,0NO
151001ABS000009,0RO
151001ABS000009,F28
151001ABS000009,K04
151001ABS000009,N18
151001ABS000009,O98
151001ABS000009,P45
151001ABS000009,A06
151001ABS000009,N50
151001ABS000010,0NO
151001ABS000010,A06
151001ABS000010,N18
151001ABS000010,O98
151001ABS000011,0NO
151001ABS000011,0RO
151001ABS000011,F28
151001ABS000011,F52
151001ABS000011,O98
151001ABS000011,P45
151001ABS000032,0NO
151001ABS000033,Y13
151001ABS000034,0NO
151001DCW000001,F28
151001DCW000001,N50
151001DCW000002,0BO
151001UGH000002,A55
151001UFE000001,443
151001UTS000001,E20
151001ABS000012,0RO
151001ABS000012,G12
151001ABS000012,N18
151001ABS000012,N50
151001ABS000012,F52
151001ABS000012,O98
151001ABS000013,0NO
151001DCW000003,305
151001DCW000003,N50
151001DCW000004,C43
151001DCW000004,0BO
151001UTS000002,443
151001UTS000002,659
151001UTS000003,P00
151001UTS000004,825
151001DTO000001,EK0
151001DTO000002,N50
151001DTO000002,F28
151001DGH000001,N50
151001DGH000001,O98
151001UPL000001,E15
151001UCP000001,825
151001UPN000001,424
151001UPN000001,598
151001UPN000001,659
151001DMA000001,N50
151001DMA000002,N50
151001DMA000002,F28
151001DMA000003,F28
151001UBE000001,E20
151001UCW000003,F20
151001UGB000003,F80
151001UFE000002,825
151001UCP000002,825
151001UBE000002,E10
151001DPN000001,F00
151001DPN000001,F80
151001DTS000001,157
151001DTS000001,N50
151001NCX000019,N69
151001DTS000002,0BO
151001DPN000002,EC0
151001DSH000001,N50
151001LCX000001,N84
151001LCX000002,Y41
151001LCX000002,M30
151001LCX000003,R82
151001LCX000003,A08
151001NCX000001,D69
151001NCX000001,N91
151001NCX000001,G42
151001NCX000001,P45
151001NCX000020,N69
151001NCX000021,N69
151001ABS000001,0NO
151001ABS000001,K04
151001ABS000001,N50
151001ABS000001,0RO
151001DSH000002,0NO
151001DSH000003,A03
151001DTO000003,EC0
151001LCX000004,D73
151001LCX000004,D74
151001LCX000004,D75
151001LCX000004,N97
151001LCX000004,S88
151001LCX000005,G05
151001LCX000005,H07
151001LCX000006,P65
151001NCX000002,A06
151001NCX000002,B17
151001NCX000002,Y11
151001NCX000003,N41
151001NCX000003,N91
151001NCX000003,P26
151001NCX000003,R19
151001NCX000004,N41
151001NCX000004,N91
151001NCX000004,P45
151001NCX000004,N52
151001ABS000035,G01
151001ABS000020,0RO
151001ABS000020,0NO
151001ABS000020,F28
151001ABS000022,0RO
151001ABS000022,K04
151001ABS000022,O98
151001ABS000022,0NO
151001ABS000022,N50
151001ABS000022,P45
151001DAB000001,0NE
151001DAB000002,157
151001DAB000003,E90
151001LCX000007,P31
151001LCX000007,A41
151001LCX000007,G47
151001LCX000008,L71
151001LCX000009,Y20
151001NCX000005,N91
151001NCX000005,P26
151001NCX000005,P45
151001NCX000006,N41
151001NCX000007,M12
151001ABS000036,G01
151001ABS000037,G01
151001ABS000038,G01
151001ABS000023,O98
151001ABS000023,0RO
151001ABS000023,N50
151001ABS000024,N18
151001ABS000024,F52
151001ABS000025,F28
151001ABS000025,F52
151001ABS000025,K04
151001DAB000004,EK0
151001DAB000005,A23
151001DAB000006,406
151001LCX000010,M74
151001LCX000010,S02
151001LCX000011,Y20
151001LCX000012,Y45
151001NCX000008,M12
151001NCX000009,K04
151001NCX000009,N18
151001NCX000010,P78
151001ABS000039,G01
151001ABS000040,G01
151001APG000001,N50
151001APG000001,P45
151001APG000001,0NO
151001APG000001,F52
151001ABS000026,N18
151001ABS000026,O98
151001ABS000026,N50
151001ABS000027,N50
151001ABS000028,A06
151001DMA000004,0NR
151001DGH000002,F80
151001DGN000001,F28
151001NCX000011,C86
151001NCX000011,D70
151001NCX000012,Y47
151001NCX000013,O55
151001APG000002,0NO
151001APG000002,0RO
151001APG000002,O98
151001APG000003,0RO
151001APG000003,O98
151001APC000001,N50
151001APC000001,0NO
151001ABS000029,M12
151001DGN000002,157
151001DPN000003,E15
151001DSH000004,N50
151001NCX000014,N91
151001NCX000014,P26
151001NCX000014,P45
151001NCX000015,O91
151001NCX000016,M12
151001APG000004,G01
151001AAV000001,G01
151001AAV000002,G01
151001DTO000004,EC0
151001DAB000007,305
151001DAB000008,N11
151001NCX000017,G76
151001NCX000018,L71
151001ABS000002,P12
151001ABS000015,0NO
151001ABS000015,N18
151001ABS000015,F28
151001ABS000041,G01
151001DPE000001,417
151001DCD000001,665
151001DCD000001,R13
142001ABS000001,0NO
142001ABS000001,0RO
142001ABS000001,G12
142001ABS000001,I02
142001ABS000003,0NO
142001ABS000003,0RO
142001ABS000003,A40
142001ABS000037,M30
142001ABS000037,0NO
142001ABS000037,B63
142001ABS000008,0NO
142001ABS000008,0RO
142001ABS000011,0NO
142001ABS000011,A40
142001NCX000005,P45
142001NCX000005,0NO
142001ABS000012,B17
142001ABS000012,0NO
142001APG000001,D21
142001APG000001,M30
142001APG000001,0NO
142001APG000001,0RO
142001APG000001,G12
142001APG000001,Z83
142001APG000004,0NO
142001APG000004,A40
151001NCX000034,N91
151001NCX000034,P45
151001NCX000034,R19
151001NCX000035,0NO
151001NCX000035,Z83
151001NCX000035,0RO
151001NCX000036,0RO
151001NCX000036,P45
151001NCX000037,I03
151001NCX000037,R04
151001NCX000038,R19
151001NCX000039,W37
151001NCX000040,0NO
151001NCX000040,A06
151001NCX000041,P81
151001NCX000042,L17
151001NCX000043,R04
151001NCX000044,R24
151001NCX000044,R04
151001NCX000044,I03
151001NCX000045,P45
151001NCX000046,0RO
151001NCX000047,W36
151001NCX000048,0NO
151001NCX000048,A06
151001ABG000001,0NO
151001ABG000001,L43
151001ABG000001,P45
151001ABS000042,W34
151001ABS000042,0NO
151001ABS000042,0RO
151001ABS000042,M30
151001ABS000042,W33
151001NCX000022,I16
151001NCX000022,W33
151001NCX000023,038
151001NCX000023,I03
151001NCX000023,R04
151001NCX000024,N91
151001NCX000025,0NO
151001NCX000027,N91
151001NCX000027,S39
151001NCX000027,R19
151001NCX000028,P45
151001NCX000028,N91
151001NCX000029,W36
151001NCX000030,W36
151001NCX000031,0AC
151001NCX000032,I03
151001NCX000032,R04
151001NCX000033,I03
151001NCX000033,R04
151001DTO000005,ET0
151001DTO000005,EN0
151001DMA000005,0BO
151001DMA000006,0BO
151001DMA000007,A03
151001DMA000008,0BO
151001DAB000009,0BO
151001ABS000043,0AC
151001ABS000044,W41
151001ABS000045,0NO
151001ABS000045,0RO
151001ABS000045,M30
151001ABS000045,W33
151001ABS000045,W34
151001DAB000010,M12
151001DPN000005,E68
151001DPN000005,EX0
151001DPN000006,EN0
151001DPN000006,ET0
151001ABS000046,0AC
151001ABS000047,S17
151001ABS000048,N99
151001DTO000006,E68
151001DTO000006,EX0
151001DAB000011,158
151001DAB000012,A03
151001ABS000049,0NO
151001ABS000049,0RO
151001ABS000049,W33
151001ABS000049,W34
151001ABS000049,Z83
151001ABS000050,0AC
151001ABS000051,U26
151001DAB000013,E68
151001DAB000014,M14
151001DAB000015,ET0
151001ABS000052,M30
151001ABS000052,W33
151001ABS000052,W34
151001ABS000052,Z83
151001ABS000053,0AC
151001ABS000054,W45
151001DAB000016,ET0
151001DAB000016,EN0
151001DAB000017,M14
151001DMA000009,0BO
151001ABS000055,S19
151001ABS000056,N99
151001ABS000056,N91
151001ABS000056,Y22
151001ABS000057,W44
151001DAB000018,F28
151001DAB000018,N50
151001DAB000019,A57
151001ABS000058,0RO
151001ABS000058,M30
151001ABS000058,W33
151001ABS000058,W34
151001ABS000059,0AC
151001ABS000060,L26
151001ABS000060,W11
151001DGN000003,P45
151001DSH000005,E68
151001DAB000020,385
151001ABS000061,L27
151001ABS000062,N91
151001ABS000062,N99
151001ABS000062,Y22
151001ABS000063,0AC
151001DAB000021,A03
151001DAB000022,EN0
151001DAB000022,ET0
151001DCW000010,0BO
151001ABS000064,0RO
151001ABS000064,M30
151001ABS000064,W34
151001ABS000064,C07
151001ABS000065,0AC
151001ABS000066,U26
151001ABS000066,N99
151001ABS000066,S17
151001DMA000010,ET0
151001DSH000006,EZ0
151001DSH000007,EN0
151001ABS000067,S17
151001ABS000067,N99
151001ABS000067,U26
151001ABS000068,S17
151001ABS000069,M30
151001ABS000069,W33
151001ABS000069,W34
151001ABS000069,Z83
151001DAB000023,M40
151001ASC000004,EN0
151001ASC000004,FV0
151001ASC000004,G00
151001ASC000004,M41
151001AST000001,EN0
151001AST000001,ES0
151001AST000001,FV0
151001ABS000070,0AC
151001ABS000071,0NO
151001ABS000071,0RO
151001ABS000071,M30
151001ABS000071,W33
151001ABS000071,W34
151001ABS000071,Z83
151001ABS000072,0AC
151001ABS000073,0NO
151001ABS000073,0RO
151001ABS000073,M30
151001ABS000073,W34
151001ABS000074,0AC
151001ABS000075,0AC
151001ABS000076,N99
151001ABS000077,N99
151001ABS000078,0AC
151001DCW000006,0BO
151001DCW000005,0BO
151001DCW000008,0BO
151001DCW000009,EN0
151001DCW000007,0BO
142001APG000001,0RO
